Country,City,Longitude,Latitude,Community,Size,Pct_evangelical_christians,Pct_of_jews,SM_followers,SM_coverage_rate
Georgia,Alpharetta,-84.2941,34.0754,Christian_evangelists_influences,66566,0.299987982,0.028693327,781947,409.3963351
Georgia,Alpharetta,-84.250926,34.057724,Evangelical_community,66255,0.30186401,0.0075466,38309,76.618
California,Aptos,-121.904,36.9786,Evangelical_community,6220,0.321543408,0.008038585,9499,189.98
North carolina,Asheville,-82.537711,35.610154,Evangelical_community,93350,0.26780932,0.012854847,521,0.434166667
Georgia,Athens,-83.377322,33.949582,Evangelical_community,127315,0.196363351,0.011781801,208,0.138666667
Georgia,Atlanta,-84.388,33.749,Christian_evangelists_influences,498715,0.299998997,0.023861324,1542484,129.6205042
Georgia,Atlanta,-84.387982,33.748995,Evangelical_community,498715,0.200515324,0.070180364,150392,4.296914286
Georgia,Atlanta,-84.3265,33.8166,Jewish_community,498715,0.299998997,0.023861324,5901,0.495882353
Texas,Austin,-97.6,30.24,Evangelical_community,978908,0.102154646,0.008172372,27871,3.483875
Texas,Austin,-97.7431,30.2672,Jewish_community,978908,0.102154646,0.008172372,5100,0.6375
Georgia,Bethlehem,-83.706432,33.934236,Evangelical_community,601,0.332778702,0.016638935,662,66.2
California,Beverly Hills,-118.40094,34.06944,Evangelical_community,34362,0.291019149,0.029101915,29000,29
North carolina,Boone,-81.674679,36.216799,Evangelical_community,19205,0.312418641,0.015620932,101,0.336666667
Montana,Bozeman,-111.0134419,45.67216095,Jewish_community,46400,0.5,0.002155172,4800,48
Tennessee,Brentwood,-86.7828,36.0331,Jewish_community,43268,0.5,0.011555884,1600,3.2
Indiana,Carmel,-86.1093,39.9784,Evangelical_community,101068,0.197886571,0.009894329,19000,19
Texas,Carrollton,-96.92887,32.964293,Evangelical_community,133434,0.299773671,0.007494342,18000,18
North carolina,Cary,-78.835713,35.788202,Evangelical_community,170282,0.352356679,0.017617834,3082,1.027333333
North Carolina,Charlotte,-80.9,35.1466,Jewish_community,874579,0.2999992,0.015881927,2600,0.187185025
North carolina,Charlotte,-80.8431,35.2271,Christian_evangelists_influences,874579,0.2999992,0.015881927,11309563,814.2233981
North carolina,Charlotte,-80.74253,35.3,Evangelical_community,874579,0.171511093,0.011434073,330989,33.0989
Tennessee,Chattanooga,-85.3097,35.0456,Jewish_community,181099,0.500002761,0.008282762,3100,2.066666667
California,Chula Vista,-117.084196,32.640053,Evangelical_community,277220,0.288579468,0.01082173,15060,5.02
North carolina,Clayton,-78.456863,35.635548,Evangelical_community,21405,0.303667367,0.009343611,151,0.755
Georgia,Columbus,-84.975315,32.540287,Evangelical_community,206922,0.241636945,0.014498217,1361,0.453666667
Ohio,Columbus,-82.9988,39.9612,Christian_evangelists_influences,878553,0.300000114,0.029002234,7914,0.310596546
California,Corona,-117.5581,33.85835,Evangelical_community,160508,0.311510953,0.012460438,1788,0.894
California,Costa Mesa,-117.918669,33.641131,Evangelical_community,112822,0.221587988,0.013295279,5445,3.63
Georgia,Cumming,-84.135378,34.207319,Evangelical_community,6415,0.311769291,0.007794232,11548,230.96
Georgia,Dallas,-84.841925,33.920436,Evangelical_community,14042,0.356074633,0.014242985,129740,648.7
Texas,Dallas,-96.797,32.7767,Christian_evangelists_influences,1356789,0.299999484,0.039062817,15711090,296.4356604
Texas,Dallas,-96.868724,32.726073,Evangelical_community,1347120,0.111348655,0.014846487,126041,6.30205
Texas,Dallas,-96.5,33.7767,Jewish_community,1356789,0.299999484,0.039062817,7000,0.132075472
Georgia,Decatur,-84.296312,33.77483,Evangelical_community,24928,0.320924262,0.020057766,15943,31.886
Colorado,Denver,-104.9903,39.7392,Christian_evangelists_influences,716492,0.299999163,0.025122402,5301,0.2945
North carolina,Denver,-81.029739,35.541136,Evangelical_community,2309,0.433087917,0.021654396,1653,33.06
Georgia,Dunwoody,-84.3346,33.9462,Jewish_community,49300,0.5,0.030425963,6700,4.466666667
North Carolina,Durham,-78.8,35.9,Jewish_community,278993,0.286745546,0.014337277,2486,0.6215
North carolina,Durham,-78.9083,35.9887,Evangelical_community,278993,0.286745546,0.014337277,359,0.08975
Oklahoma,Edmond,-97.5,35.6,Christian_evangelists_influences,94196,0.300002123,0.019321415,2276054,1250.579121
Oklohoma,Edmond,-97.4,35.5,Evangelical_community,94054,0.531609501,0.01063219,67699,67.699
California,El Cajon,-116.96252,32.79477,Evangelical_community,102894,0.194374793,0.00485937,122000,244
Texas,El Paso,-106.485,31.7619,Jewish_community,678815,0.500000737,0.008838933,1100,0.183333333
Georgia,Fayetteville,-84.452048,33.450393,Evangelical_community,18957,0.316505776,0.010550193,1980,9.9
North carolina,Fayetteville,-78.911947,35.061563,Evangelical_community,211657,0.188985009,0.014173876,1683,0.561
Montana,Fenton,-90.4426,38.5137,Christian_evangelists_influences,40538,0.299990133,0.014554245,11157790,18911.50847
Texas,Flower Mound,-97,33.0146,Christian_evangelists_influences,79155,0.299993683,0.010106753,376545,470.68125
Texas,Flower Mound,-97.1,33,Evangelical_community,79135,0.252732672,0.010109307,99000,123.75
